載具自訂名稱,發票日期,發票號碼,發票金額,發票狀態,折讓,賣方統一編號,賣方名稱,賣方地址,買方統編,消費明細_數量,消費明細_單價,消費明細_金額,消費明細_品名
手機條碼,20260428,YS10300472,59,開立已確認,否,97164871,統一超商股份有限公司新北市第二二八分公司,新北市板橋區莊敬路60號,,1,59,59,握便當-黑胡椒烤雞
手機條碼,20260428,YS10300472,20,開立已確認,否,97164871,統一超商股份有限公司新北市第二二八分公司,新北市板橋區莊敬路60號,,2,10,20,茶葉蛋
手機條碼,20260427,ZG40023534,209,開立已確認,否,28226057,福袋有限公司,新北市板橋區文化路一段３１８號１樓,,1,209,209,６吋百味俱樂部潛艇堡　６－Ｉｎｃｈ　Ｓｕｂｗａｙ　ＣｌｕｂＴＭ　Ｓｕｂ
手機條碼,20260427,ZB54056502,25,開立已確認,否,83076928,優食台灣股份有限公司,新北市林口區文化二路1段390號7樓,,1,25,25,外送費
手機條碼,20260427,ZB54056502,17,開立已確認,否,83076928,優食台灣股份有限公司,新北市林口區文化二路1段390號7樓,,1,17,17,服務費和其他費用
手機條碼,20260427,ZB54056502,-25,開立已確認,否,83076928,優食台灣股份有限公司,新北市林口區文化二路1段390號7樓,,1,-25,-25,送餐優惠
手機條碼,20260427,ZB54056502,-10,開立已確認,否,83076928,優食台灣股份有限公司,新北市林口區文化二路1段390號7樓,,1,-10,-10,服務費優惠
手機條碼,20260426,ZG61856968,130,開立已確認,否,90562298,華泰名品城企業股份有限公司,桃園市中壢區春德路159、169、189號,,1,130,130,其他
手機條碼,20260426,ZG61795427,3327,開立已確認,否,90562298,華泰名品城企業股份有限公司,桃園市中壢區春德路159、169、189號,,1,3327,3327,鞋履
手機條碼,20260425,YY73061366,1088,開立已確認,否,43045301,香港商世界健身事業有限公司板橋雙十分公司,新北市板橋區莊敬路15號地下1層及23號地下1層、及25巷1號,,1,1088,1088,會費
手機條碼,20260425,YS98071094,169,開立已確認,否,54917009,統一超商股份有限公司新北市第一二七八分公司,新北市板橋區民生路二段232號1.2樓之14、232號1.2樓之15,,1,169,169,2O)韓國真果實檸檬highball調酒
手機條碼,20260425,YS98071094,-70,開立已確認,否,54917009,統一超商股份有限公司新北市第一二七八分公司,新北市板橋區民生路二段232號1.2樓之14、232號1.2樓之15,,1,-70,-70,0401指定韓國真果酒單件99元*28J
手機條碼,20260425,YS10298727,35,開立已確認,否,97164871,統一超商股份有限公司新北市第二二八分公司,新北市板橋區莊敬路60號,,1,35,35,美式冰咖啡(中)
手機條碼,20260424,YE46389204,49,開立已確認,否,94033412,全家便利商店股份有限公司新北市第一一○六分公司,新北市板橋區莊敬路８９號,,1,49,49,山賊燒風味烤雞胸棒
手機條碼,20260424,YE46389204,55,開立已確認,否,94033412,全家便利商店股份有限公司新北市第一一○六分公司,新北市板橋區莊敬路８９號,,1,55,55,蒜香紐奧良風味雞Ｑ丸
手機條碼,20260424,YE46389204,-4,開立已確認,否,94033412,全家便利商店股份有限公司新北市第一一○六分公司,新北市板橋區莊敬路８９號,,1,0,-4,鮮食促
手機條碼,20260422,ZL78855312,35,開立已確認,否,95148475,承佑企業社,新北市板橋區忠翠里莊敬路３８號,,5,7,35,招牌鍋貼
手機條碼,20260422,ZL78855312,35,開立已確認,否,95148475,承佑企業社,新北市板橋區忠翠里莊敬路３８號,,5,7,35,咖哩鍋貼
手機條碼,20260422,ZL78855312,45,開立已確認,否,95148475,承佑企業社,新北市板橋區忠翠里莊敬路３８號,,1,45,45,皮蛋豆腐
手機條碼,20260422,ZL78855312,40,開立已確認,否,95148475,承佑企業社,新北市板橋區忠翠里莊敬路３８號,,1,40,40,原塊花枝魚丸湯
手機條碼,20260422,YE46387367,42,開立已確認,否,94033412,全家便利商店股份有限公司新北市第一一○六分公司,新北市板橋區莊敬路８９號,,1,42,42,冰心乳酪條
手機條碼,20260422,YE46387367,45,開立已確認,否,94033412,全家便利商店股份有限公司新北市第一一○六分公司,新北市板橋區莊敬路８９號,,1,45,45,大冰美式
手機條碼,20260422,YE46387367,-21,開立已確認,否,94033412,全家便利商店股份有限公司新北市第一一○六分公司,新北市板橋區莊敬路８９號,,1,0,-21,鮮食促
手機條碼,20260422,YE46385544,260,開立已確認,否,94033412,全家便利商店股份有限公司新北市第一一○六分公司,新北市板橋區莊敬路８９號,,2,130,260,堅果起司
手機條碼,20260422,YE46385544,32,開立已確認,否,94033412,全家便利商店股份有限公司新北市第一一○六分公司,新北市板橋區莊敬路８９號,,1,32,32,光泉無加糖濃豆漿
手機條碼,20260422,YE46385544,32,開立已確認,否,94033412,全家便利商店股份有限公司新北市第一一○六分公司,新北市板橋區莊敬路８９號,,1,32,32,光泉無加糖濃豆漿
手機條碼,20260422,YE46385544,69,開立已確認,否,94033412,全家便利商店股份有限公司新北市第一一○六分公司,新北市板橋區莊敬路８９號,,1,69,69,美式經典嫩雞胸
手機條碼,20260422,YE46385544,-130,開立已確認,否,94033412,全家便利商店股份有限公司新北市第一一○六分公司,新北市板橋區莊敬路８９號,,1,0,-130,鮮食促
手機條碼,20260422,YE46385544,-22,開立已確認,否,94033412,全家便利商店股份有限公司新北市第一一○六分公司,新北市板橋區莊敬路８９號,,1,0,-22,低溫促
手機條碼,20260421,ZN46078737,145,開立已確認,否,91789961,享煮小吃店,新北市板橋區忠翠里莊敬路２５巷２號（１樓）,,1,145,145,坦都里優格雞餐盒
手機條碼,20260421,ZN46078737,30,開立已確認,否,91789961,享煮小吃店,新北市板橋區忠翠里莊敬路２５巷２號（１樓）,,1,30,30,時令湯品
手機條碼,20260419,ZH68714275,1,開立已確認,否,54687323,現代財富科技股份有限公司,台北市信義區忠孝東路五段６８號２５樓Ａ１,,1,1,1,服務費
手機條碼,20260419,ZH68713525,56,開立已確認,否,54687323,現代財富科技股份有限公司,台北市信義區忠孝東路五段６８號２５樓Ａ１,,1,56,56,服務費
手機條碼,20260419,YC39796265,199,開立已確認,否,28989478,台灣屈臣氏個人用品商店股份有限公司雙十分公司,新北市板橋區雙十路二段213,215,217,219號,,1,199,199,DENTALPRO齒縫潔淨I型牙間刷15入-1號
手機條碼,20260419,YC39796265,189,開立已確認,否,28989478,台灣屈臣氏個人用品商店股份有限公司雙十分公司,新北市板橋區雙十路二段213,215,217,219號,,1,189,189,GATSBY造型髮雕霜濕潤200G
手機條碼,20260419,YC39796265,125,開立已確認,否,28989478,台灣屈臣氏個人用品商店股份有限公司雙十分公司,新北市板橋區雙十路二段213,215,217,219號,,1,125,125,曼秀雷敦Acnes抗痘美白洗面乳 100g
手機條碼,20260418,ZK75303003,110,開立已確認,否,91784059,元信茶行,新北市新莊區新泰路206號1樓,,2,55,110,油切蕎麥茶
手機條碼,20260418,ZK75303003,35,開立已確認,否,91784059,元信茶行,新北市新莊區新泰路206號1樓,,1,35,35,油切蕎麥茶
手機條碼,20260418,ZG68741128,260,開立已確認,否,85330663,麥特咖啡廳,新北市板橋區華江里文化路１段３１６號,,1,260,260,綜合莓果舒芙蕾-後上
手機條碼,20260418,ZG68741128,250,開立已確認,否,85330663,麥特咖啡廳,新北市板橋區華江里文化路１段３１６號,,1,250,250,薯絲餅早午餐
手機條碼,20260418,ZG68741128,45,開立已確認,否,85330663,麥特咖啡廳,新北市板橋區華江里文化路１段３１６號,,1,45,45,蜂蜜檸檬-A套餐
手機條碼,20260418,ZG68741128,130,開立已確認,否,85330663,麥特咖啡廳,新北市板橋區華江里文化路１段３１６號,,1,130,130,山茶花美式-B套餐
手機條碼,20260418,ZG68741128,130,開立已確認,否,85330663,麥特咖啡廳,新北市板橋區華江里文化路１段３１６號,,1,130,130,冰拿鐵-B套餐
手機條碼,20260418,ZG68741128,255,開立已確認,否,85330663,麥特咖啡廳,新北市板橋區華江里文化路１段３１６號,,1,255,255,明太子歐姆蛋捲
手機條碼,20260418,ZG68741128,330,開立已確認,否,85330663,麥特咖啡廳,新北市板橋區華江里文化路１段３１６號,,1,330,330,松阪豬早午餐
手機條碼,20260418,ZG68741128,140,開立已確認,否,85330663,麥特咖啡廳,新北市板橋區華江里文化路１段３１６號,,1,140,140,西西里咖啡-B套餐
手機條碼,20260418,ZG68741128,330,開立已確認,否,85330663,麥特咖啡廳,新北市板橋區華江里文化路１段３１６號,,1,330,330,香煎鮭魚早午餐
關網會員,20260418,ZE73664504,8,開立已確認,否,83118125,優步福爾摩沙股份有限公司,臺北市松山區復興北路367號8樓,,1,8,8,Uber 處理費
關網會員,20260418,ZE64585349,6,開立已確認,否,83118125,優步福爾摩沙股份有限公司,臺北市松山區復興北路367號8樓,,1,6,6,Uber 處理費
手機條碼,20260417,YS10294573,35,開立已確認,否,97164871,統一超商股份有限公司新北市第二二八分公司,新北市板橋區莊敬路60號,,1,35,35,(E )光泉生乳米漿
手機條碼,20260417,YS10294573,59,開立已確認,否,97164871,統一超商股份有限公司新北市第二二八分公司,新北市板橋區莊敬路60號,,1,59,59,阜杭豆漿-里肌肉蛋紫米飯糰
手機條碼,20260417,YS10294573,49,開立已確認,否,97164871,統一超商股份有限公司新北市第二二八分公司,新北市板橋區莊敬路60號,,1,49,49,焗烤雙起司鮪魚三明治
手機條碼,20260417,YS10294573,-10,開立已確認,否,97164871,統一超商股份有限公司新北市第二二八分公司,新北市板橋區莊敬路60號,,1,-10,-10,傳統飯糰+光泉豆米漿省10元*291L
關網會員,20260415,ZB43215453,45,開立已確認,否,83076928,優食台灣股份有限公司,新北市林口區文化二路1段390號7樓,,1,45,45,外送費
關網會員,20260415,ZB43215453,19,開立已確認,否,83076928,優食台灣股份有限公司,新北市林口區文化二路1段390號7樓,,1,19,19,服務費和其他費用
關網會員,20260415,ZB43215453,-45,開立已確認,否,83076928,優食台灣股份有限公司,新北市林口區文化二路1段390號7樓,,1,-45,-45,送餐優惠
關網會員,20260415,ZB43215453,-12,開立已確認,否,83076928,優食台灣股份有限公司,新北市林口區文化二路1段390號7樓,,1,-12,-12,服務費優惠
手機條碼,20260413,ZM33537999,120,開立已確認,否,91181917,十分甜品冰品店,新北市板橋區雙十路二段30號1樓,,2,60,120,冰豆花60
手機條碼,20260413,YS10289638,99,開立已確認,否,97164871,統一超商股份有限公司新北市第二二八分公司,新北市板橋區莊敬路60號,,1,99,99,21Plus主廚烤雞時蔬餐
手機條碼,20260413,YS10289638,20,開立已確認,否,97164871,統一超商股份有限公司新北市第二二八分公司,新北市板橋區莊敬路60號,,2,10,20,茶葉蛋
手機條碼,20260413,YQ53690253,55,開立已確認,否,54388681,統一超商股份有限公司新竹市第一三一分公司,新竹市東區埔頂二路148號1樓,,1,55,55,拿鐵冰咖啡(大)
手機條碼,20260413,YE46380116,80,開立已確認,否,94033412,全家便利商店股份有限公司新北市第一一○六分公司,新北市板橋區莊敬路８９號,,2,40,80,義美優質高蛋白牛乳無加糖
手機條碼,20260413,YE46380116,-16,開立已確認,否,94033412,全家便利商店股份有限公司新北市第一一○六分公司,新北市板橋區莊敬路８９號,,1,0,-16,低溫促
手機條碼,20260412,YQ73525946,29,開立已確認,否,22656537,統一超商股份有限公司台南市第十四分公司,台南市東區林森路二段84號,,1,29,29,(A)*台鹽海洋鹼性離子水PET850
手機條碼,20260412,YQ53689968,99,開立已確認,否,54388681,統一超商股份有限公司新竹市第一三一分公司,新竹市東區埔頂二路148號1樓,,1,99,99,2O)臺虎精釀桑心太平洋啤酒500ml
手機條碼,20260412,YF14895920,150,開立已確認,否,82571132,全家便利商店股份有限公司苗栗縣第十六門市部,苗栗縣三義鄉西湖村下湖５－１０號,,1,150,150,叉燒拉麵
手機條碼,20260412,YF14895920,40,開立已確認,否,82571132,全家便利商店股份有限公司苗栗縣第十六門市部,苗栗縣三義鄉西湖村下湖５－１０號,,1,40,40,可樂餅
手機條碼,20260412,YF14895920,20,開立已確認,否,82571132,全家便利商店股份有限公司苗栗縣第十六門市部,苗栗縣三義鄉西湖村下湖５－１０號,,1,20,20,加20元
手機條碼,20260412,YE07235890,80,開立已確認,否,16836961,全家便利商店股份有限公司台南林森分公司,台南市東區林森路二段１８８號,,1,80,80,大熱阿里山極選綜合美式
手機條碼,20260411,YQ53669096,45,開立已確認,否,54388681,統一超商股份有限公司新竹市第一三一分公司,新竹市東區埔頂二路148號1樓,,1,45,45,美式冰咖啡(大)
關網會員,20260410,ZB42595906,20,開立已確認,否,83076928,優食台灣股份有限公司,新北市林口區文化二路1段390號7樓,,1,20,20,外送費
關網會員,20260410,ZB42595906,17,開立已確認,否,83076928,優食台灣股份有限公司,新北市林口區文化二路1段390號7樓,,1,17,17,服務費和其他費用
關網會員,20260410,ZB42595906,-11,開立已確認,否,83076928,優食台灣股份有限公司,新北市林口區文化二路1段390號7樓,,1,-11,-11,服務費優惠
關網會員,20260410,ZB42595906,-20,開立已確認,否,83076928,優食台灣股份有限公司,新北市林口區文化二路1段390號7樓,,1,-20,-20,送餐優惠
手機條碼,20260410,YL95950529,60,開立已確認,否,82201259,寶盛國際股份有限公司嘟嘟房蘆洲功學社站,蘆洲區中山二路162號B1~B2,,1,60,60,停車費
手機條碼,20260409,ZC55203538,127,開立已確認,否,96922355,博客來數位科技股份有限公司,台北市內湖區石潭路159號3樓,,1,127,127,9786260263041黃泉使者 (首刷限定版) 10
手機條碼,20260409,ZC55203537,50,開立已確認,否,96922355,博客來數位科技股份有限公司,台北市內湖區石潭路159號3樓,,1,50,50,ACC0000001處理費
手機條碼,20260409,YL21502265,35,開立已確認,否,23225918,來來超商股份有限公司第２２分公司,桃園市中壢區中北路2段400號1樓,,1,35,35,@左岸咖啡館拿鐵咖啡240ml
手機條碼,20260409,YL21502265,31,開立已確認,否,23225918,來來超商股份有限公司第２２分公司,桃園市中壢區中北路2段400號1樓,,1,31,31,@★鮮蔬鮪魚三角飯糰(18℃/95g)
手機條碼,20260409,YH53177043,80,開立已確認,否,31530052,台灣普客二四股份有限公司中壢中北路停車場,桃園市中壢區中北路二段377號旁,,1,80,80,停車場收入
手機條碼,20260408,YZ23159506,683,開立已確認,否,37894380,鼎虹涮涮鍋店,新北市板橋區松柏里雙十路２段１３２、１３４、１３６號（１樓）,,1,683,683,餐費
手機條碼,20260407,YE46374907,55,開立已確認,否,94033412,全家便利商店股份有限公司新北市第一一○六分公司,新北市板橋區莊敬路８９號,,1,55,55,蒜香紐奧良風味雞Ｑ丸
手機條碼,20260407,YE46374907,99,開立已確認,否,94033412,全家便利商店股份有限公司新北市第一一○六分公司,新北市板橋區莊敬路８９號,,1,99,99,健身Ｇ肉餐盒
手機條碼,20260407,YE46374907,49,開立已確認,否,94033412,全家便利商店股份有限公司新北市第一一○六分公司,新北市板橋區莊敬路８９號,,1,49,49,椒香溫泉蛋
手機條碼,20260407,YE46374907,39,開立已確認,否,94033412,全家便利商店股份有限公司新北市第一一○六分公司,新北市板橋區莊敬路８９號,,1,39,39,光泉優質蛋白巧克力牛奶
手機條碼,20260406,ZN55486102,185,開立已確認,否,61218949,博瑞商行,220新北市板橋區雙十路二段221號,,1,185,185,麻婆雞胸餐盒
手機條碼,20260405,YT31335953,64,開立已確認,否,86924811,統一超商股份有限公司台北縣第３２分公司,新北市板橋區永豐街87號1樓,,2,32,64,光泉無加糖濃豆漿375ml
手機條碼,20260405,YT31335953,-22,開立已確認,否,86924811,統一超商股份有限公司台北縣第３２分公司,新北市板橋區永豐街87號1樓,,1,-22,-22,0401春遊冷藏指定第二件10元*28C
手機條碼,20260405,YQ65627892,45,開立已確認,否,97179662,統一超商股份有限公司台北市第３１９分公司,台北市萬華區西寧南路85號,,1,45,45,美式冰咖啡(大)
手機條碼,20260404,ZM15847439,130,開立已確認,否,91674969,串樂小吃店,新北市板橋區公園街34巷10號1樓,,1,130,130,蒜香高麗菜  份
手機條碼,20260404,ZM15847439,150,開立已確認,否,91674969,串樂小吃店,新北市板橋區公園街34巷10號1樓,,1,150,150,明太子雞腿肉
手機條碼,20260404,ZM15847439,120,開立已確認,否,91674969,串樂小吃店,新北市板橋區公園街34巷10號1樓,,1,120,120,綠茶梅酒沙瓦  杯
手機條碼,20260404,ZM15847439,178,開立已確認,否,91674969,串樂小吃店,新北市板橋區公園街34巷10號1樓,,1,178,178,酒蒸蛤蜊  份
手機條碼,20260404,ZM15847439,100,開立已確認,否,91674969,串樂小吃店,新北市板橋區公園街34巷10號1樓,,1,100,100,蜜釀番茄  份
手機條碼,20260404,ZM15847439,90,開立已確認,否,91674969,串樂小吃店,新北市板橋區公園街34巷10號1樓,,1,90,90,醬燒香菇
手機條碼,20260404,ZM15847439,160,開立已確認,否,91674969,串樂小吃店,新北市板橋區公園街34巷10號1樓,,1,160,160,生蠔
手機條碼,20260404,ZM15847439,206,開立已確認,否,91674969,串樂小吃店,新北市板橋區公園街34巷10號1樓,,1,206,206,服務費
手機條碼,20260404,ZM15847439,120,開立已確認,否,91674969,串樂小吃店,新北市板橋區公園街34巷10號1樓,,1,120,120,18天  瓶
手機條碼,20260404,ZM15847439,100,開立已確認,否,91674969,串樂小吃店,新北市板橋區公園街34巷10號1樓,,1,100,100,鹽烤櫛瓜
手機條碼,20260404,ZM15847439,160,開立已確認,否,91674969,串樂小吃店,新北市板橋區公園街34巷10號1樓,,1,160,160,香烤肥腸  份
手機條碼,20260404,ZM15847439,168,開立已確認,否,91674969,串樂小吃店,新北市板橋區公園街34巷10號1樓,,1,168,168,愛媛血橙  杯
手機條碼,20260404,ZM15847439,218,開立已確認,否,91674969,串樂小吃店,新北市板橋區公園街34巷10號1樓,,1,218,218,鹽蔥牛舌  份
手機條碼,20260404,ZM15847439,130,開立已確認,否,91674969,串樂小吃店,新北市板橋區公園街34巷10號1樓,,1,130,130,蔥鹽雞胸肉
手機條碼,20260404,ZM15847439,120,開立已確認,否,91674969,串樂小吃店,新北市板橋區公園街34巷10號1樓,,1,120,120,豬肉蔥串
手機條碼,20260404,ZM15847439,120,開立已確認,否,91674969,串樂小吃店,新北市板橋區公園街34巷10號1樓,,1,120,120,揚出豆腐  份
關網會員,20260404,ZB60509210,120,開立已確認,否,83076928,優食台灣股份有限公司,新北市林口區文化二路1段390號7樓,,1,120,120,Uber One 訂閱費
手機條碼,20260404,YE25388296,49,開立已確認,否,28425176,全家便利商店股份有限公司板橋龍江分公司,新北市板橋區文化路二段１８２巷３弄９１，９３號１樓,,1,49,49,燕麥奶醫療口罩未滅菌５入裝
手機條碼,20260403,YT73503551,49,開立已確認,否,53018556,統一超商股份有限公司新北市第二０四分公司,新北市板橋區莒光路40巷16號,,1,49,49,焗烤雙起司鮪魚三明治
手機條碼,20260403,YT73503551,49,開立已確認,否,53018556,統一超商股份有限公司新北市第二０四分公司,新北市板橋區莒光路40巷16號,,1,49,49,(蔬)黃金紫玉地瓜三明治
手機條碼,20260403,YT73503551,35,開立已確認,否,53018556,統一超商股份有限公司新北市第二０四分公司,新北市板橋區莒光路40巷16號,,1,35,35,美式熱咖啡(中)
手機條碼,20260403,YT73503551,10,開立已確認,否,53018556,統一超商股份有限公司新北市第二０四分公司,新北市板橋區莒光路40巷16號,,1,10,10,加價中杯升級大杯
手機條碼,20260403,YT73503551,-19,開立已確認,否,53018556,統一超商股份有限公司新北市第二０四分公司,新北市板橋區莒光路40巷16號,,1,-19,-19,3/4-4/14超值組合65元*1ZJA*
手機條碼,20260403,YT73503551,-5,開立已確認,否,53018556,統一超商股份有限公司新北市第二０四分公司,新北市板橋區莒光路40巷16號,,1,-5,-5,自帶杯獎勵5元(咖啡1)
手機條碼,20260403,YT31335077,169,開立已確認,否,86924811,統一超商股份有限公司台北縣第３２分公司,新北市板橋區永豐街87號1樓,,1,169,169,2O韓真果實Peace檸檬Highball-紅
手機條碼,20260403,YT31335077,69,開立已確認,否,86924811,統一超商股份有限公司台北縣第３２分公司,新北市板橋區永豐街87號1樓,,1,69,69,日本NIJIYA山梨水蜜桃調酒
手機條碼,20260403,YT31335077,-70,開立已確認,否,86924811,統一超商股份有限公司台北縣第３２分公司,新北市板橋區永豐街87號1樓,,1,-70,-70,0401指定韓國真果酒單件99元*28J
手機條碼,20260403,YE09102069,35,開立已確認,否,90514374,全家便利商店股份有限公司台中市第七一○分公司,台中市大甲區慈德路１２５號,,1,35,35,二配海苔肉鬆沙拉麵包
手機條碼,20260403,YE09102069,35,開立已確認,否,90514374,全家便利商店股份有限公司台中市第七一○分公司,台中市大甲區慈德路１２５號,,1,35,35,二配經典蜂蜜鬆餅
捐贈或作廢之發票，字軌號碼均會隱末3碼
注意：本功能所下載之雲端發票明細檔案可能因賣方營業人後續作廢或折讓等原因而產生誤差。
